movieID,Title,Year,Director,Actors,Rating,Runtime (Mins),Censor Rating,Genre,Sub_Genre,Streaming
0,11:14,2003,Greg Marcks,"Henry Thomas, Colin Hanks, Ben Foster, Patrick Swayze",7.1,86,R,Comedy," Crime,  Drama",Vudu
1,9,2009,Shane Acker,"Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer",7,79,PG-13,Animation," Action,  Adventure","Netflix, Hulu"
2,13,2010,Géla Babluani,"Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham",6,91,R,Crime," Drama,  Thriller",Amazon
3,21,2008,Robert Luketic,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo",6.8,123,18,Crime," Drama,  History","Amazon, Netflix, Hulu"
4,42,2013,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford, Nicole Beharie",7.5,128,PG-13,Biography," Drama,  Sport","Hulu, Amazon"
5,54,1998,Mark Christopher,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers",5.8,93,R,Drama, Music,"Netflix, Vudu"
6,83,2021,Kabir Khan,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva",7.5,162,U,Biography," Drama,  History",Youtube
7,96,2018,C. Prem Kumar,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan",8.5,158,U,Drama, Romance,Youtube
8,300,2006,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",7.6,117,A,Action, Drama,Hulu
9,1408,2007,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack, Tony Shalhoub",6.8,104,A,Fantasy," Horror,  Mystery",None
10,1917,2019,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",8.2,119,R,Action," Drama,  War",Netflix
11,1922,2017,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard",6.2,102,18,Crime," Drama,  Horror","Amazon, Netflix, Hulu"
12,1941,1979,Steven Spielberg,"John Belushi, Dan Aykroyd, Treat Williams, Nancy Allen",5.8,118,U,Action," Comedy,  War","Netflix, Amazon"
13,2012,2009,Roland Emmerich,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet",5.8,158,UA,Action," Adventure,  Sci-Fi",Youtube
14,2046,2004,Kar-Wai Wong,"Tony Chiu-Wai Leung, Ziyi Zhang, Faye Wong, Gong Li",7.4,129,R,Drama," Romance,  Sci-Fi","Hulu, Amazon"
15,7500,2019,Patrick Vollrath,"Joseph Gordon-Levitt, Omid Memar, Aylin Tezel, Carlo Kitzlinger",6.3,93,16,Action," Drama,  Thriller","Netflix, Hulu"
16,22-Jul,2018,Paul Greengrass,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Ã˜igarden, Maria Bock",6.8,143,R,Crime," Drama,  History",Youtube
17,...and justice for all.,1979,Norman Jewison,"Al Pacino, Jack Warden, John Forsythe, Lee Strasberg",7.4,119,Not Rated,Crime," Drama,  Thriller","Netflix, Amazon"
18,'71,2014,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris, Paul Popplewell",7.2,99,R,Action," Crime,  Drama",Hulu
19,(500) Days of Summer,2009,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, ChloÃ« Grace Moretz",7.7,95,UA,Comedy," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
20,[Rec],2007,"Directors:Jaume Balagueró, Paco Plaza","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano, Pablo Rosso",7.4,78,A,Horror," Mystery,  Thriller","Hulu, Netflix"
21,*batteries not included,1987,Matthew Robbins,"Hume Cronyn, Jessica Tandy, Frank McRae, Elizabeth PeÃ±a",6.6,106,Not Rated,Comedy," Family,  Fantasy",Hulu
